Player,Birth Date
Ed Manning,January 2 1944
Guy Manning,February 4 1944
Rich Manning,June 23 1970
Nico Mannion,March 14 2001
Pace Mannion,September 22 1960
Nick Mantis,December 7 1935
Pete Maravich*,June 22 1947
Press Maravich,August 29 1915
Devyn Marble,September 21 1992
Roy Marble,December 13 1966
Stephon Marbury,February 20 1977
Šar?nas Mar?iulionis*,June 13 1964
Saul Mariaschin,September 1 1924
Jack Marin,October 12 1944
Shawn Marion,May 7 1978
Boban Marjanovi?,August 15 1988
Lauri Markkanen,May 22 1997
Damir Markota,December 26 1985
Sean Marks,August 23 1975
Harvey Marlatt,August 26 1948
Jim Marsh,April 26 1946
Ricky Marsh,March 10 1954
Donny Marshall,July 17 1972
Donyell Marshall,May 18 1973
Kendall Marshall,August 19 1991
Naji Marshall,January 24 1998
Rawle Marshall,February 20 1982
Tom Marshall,January 6 1931
Vester Marshall,December 22 1948
Bill Martin,August 16 1962
Bob Martin,October 7 1969
Brian Martin,August 18 1962
Caleb Martin,September 28 1995
Cartier Martin,November 20 1984
Cody Martin,September 28 1995
Cuonzo Martin,September 23 1971
Darrick Martin,March 6 1971
Dino Martin,May 25 1920
Don Martin,February 7 1920
Fernando Martín,March 25 1962
Jarell Martin,May 24 1994
Jeff Martin,January 14 1967
Jeremiah Martin,June 19 1996
Kelan Martin,August 3 1995
Kenyon Martin,December 30 1977
Kenyon Martin Jr.,January 6 2001
Kevin Martin,February 1 1983
LaRue Martin,March 30 1950
Maurice Martin,July 2 1964
Phil Martin,April 2 1928
Slater Martin*,October 22 1925
Whitey Martin,April 11 1939
Jamal Mashburn,November 29 1972
Al Masino,February 5 1928
Anthony Mason,December 14 1966
Desmond Mason,October 11 1977
Frank Mason III,April 3 1994
Roger Mason,September 10 1980
Tony Massenburg,July 31 1967
Eddie Mast,October 3 1948
Yante Maten,August 14 1996
Garrison Mathews,October 24 1996
Mangok Mathiang,October 8 1992
Dakota Mathias,July 11 1995
Johnny Mathis,July 14 1943
Wes Matthews,August 24 1959
Wesley Matthews,October 14 1986
Ariel Maughan,February 23 1923
Marlon Maxey,February 19 1969
Tyrese Maxey,November 4 2000
Jason Maxiell,February 18 1983
Cedric Maxwell,November 21 1955
Vernon Maxwell,September 12 1965
Don May,January 3 1946
Scott May,March 19 1954
Sean May,April 4 1984
Lee Mayberry,June 12 1970
Clyde Mayes,March 17 1953
Tharon Mayes,September 9 1968
Bill Mayfield,October 17 1957
Ken Mayfield,May 11 1948
Eric Maynor,June 11 1987
O.J. Mayo,November 5 1987
Skylar Mays,September 5 1997
Travis Mays,June 19 1968
Matt Mazza,September 23 1923
Luc Mbah a Moute,September 9 1986
Bob McAdoo*,September 25 1951
James Michael McAdoo,January 4 1993
Ken McBride,May 23 1929
Miles McBride,September 8 2000
Tahjere McCall,August 17 1994
Ray McCallum,June 12 1991
Bob McCann,April 22 1964
Brendan McCann,July 5 1935
Mel McCants,August 19 1967
Rashad McCants,September 25 1984
Mike McCarron,March 2 1922
Andre McCarter,August 25 1953
Willie McCarter,July 26 1946
Johnny McCarthy,April 25 1934
Kelly McCarty,August 24 1975
Walter McCarty,February 1 1974
Amal McCaskill,October 28 1973
Patrick McCaw,October 25 1995
Dwayne McClain,February 7 1963
Ted McClain,August 30 1946
Dan McClintock,April 19 1977
Jack McCloskey,September 19 1925
George McCloud,May 27 1967
Mac McClung,January 6 1999
CJ McCollum,September 19 1991
John McConathy,April 9 1930
Bucky McConnell,July 1 1928
T.J. McConnell,March 25 1992
Keith McCord,June 22 1957
Tim McCormick,March 10 1962
Jelani McCoy,December 6 1977
Paul McCracken,September 11 1950
Chris McCray,May 27 1984
Rodney McCray,August 29 1961
Scooter McCray,February 8 1960
Erik McCree,December 20 1993
Chris McCullough,February 5 1995
John McCullough,October 5 1956
Clint McDaniel,February 26 1972
Xavier McDaniel,June 4 1963
Jaden McDaniels,September 29 2000
Jalen McDaniels,January 31 1998
Jim McDaniels,April 2 1948
K.J. McDaniels,February 9 1993
Doug McDermott,January 3 1992
Sean McDermott,November 3 1996
Ben McDonald,July 20 1962
Glenn McDonald,March 18 1952
Michael McDonald,February 13 1969
Roderick McDonald,April 9 1945
Hank McDowell,November 13 1959
Antonio McDyess,September 7 1974
Jim McElroy,October 4 1953
Patrick McFarland,December 7 1951
Ivan McFarlin,April 26 1982
Mel McGaha,September 26 1926
Mitch McGary,June 6 1992
JaVale McGee,January 19 1988
Mike McGee,July 29 1959
Bill McGill,September 16 1939
George McGinnis*,August 12 1950
Jon McGlocklin,June 10 1943
Tracy McGrady*,May 24 1979
Gil McGregor,June 14 1949
Cameron McGriff,September 30 1997
Elton McGriff,August 21 1942
Rodney McGruder,July 29 1991
Alfred McGuire*,September 7 1928
Allie McGuire,July 10 1951
Dick McGuire*,January 25 1926
Dominic McGuire,October 20 1985
Kevin McHale*,December 19 1957
Maurice McHartley,August 1 1942
Jim McIlvaine,July 30 1972
Jeff McInnis,October 22 1974
Kenny McIntosh,January 21 1949
Bob McIntyre,January 23 1944
Jerry McKee,August 4 1946
Kevin McKenna,January 8 1959
Forrest McKenzie,February 16 1963
Stan McKenzie,October 6 1944
Derrick McKey,October 10 1966
Aaron McKie,October 2 1972
Billy McKinney,June 5 1955
Bones McKinney,January 1 1919
Carlton McKinney,October 21 1964
Trey McKinney-Jones,August 27 1990
Alfonzo McKinnie,September 17 1992
JaQuori McLaughlin,January 29 1998
Jordan McLaughlin,April 9 1996
Ben McLemore,February 11 1993
McCoy McLemore,April 3 1942
George McLeod,January 3 1931
Keith McLeod,November 5 1979
Roshown McLeod,November 17 1975
Jack McMahon,December 3 1928
Nate McMillan,August 3 1964
Tom McMillen,May 26 1952
Jim McMillian,March 11 1948
Shellie McMillon,March 11 1936
Mal McMullen,August 23 1927
Chet McNabb,September 19 1920
Mark McNamara,June 8 1959
Joe McNamee,September 24 1926
Jerel McNeal,June 1 1987
Chris McNealy,July 15 1961
Bob McNeill,October 22 1938
Larry McNeill,January 31 1951
Carl McNulty,February 14 1930
Paul McPherson,July 3 1978
Roy McPipe,May 5 1950
Cozell McQueen,January 18 1962
Jordan McRae,March 28 1991
Thales McReynolds,June 8 1943
Josh McRoberts,February 28 1987
Eric McWilliams,April 18 1950
George Mearns,April 18 1922
Stanislav Medvedenko,April 4 1979
Darnell Mee,February 11 1971
Jodie Meeks,August 21 1987
Cliff Meely,July 10 1947
Scott Meents,January 4 1964
Dick Mehen,May 20 1922
Monk Meineke,October 30 1930
Carl Meinhold,March 29 1926
Salah Mejri,June 15 1986
Gal Mekel,March 4 1988
Bill Melchionni,October 19 1944
Gary Melchionni,January 19 1951
Nicolò Melli,January 26 1991
Fab Melo,June 20 1990
De'Anthony Melton,May 28 1998
Ed Melvin,February 13 1916
Dean Meminger,May 13 1948
Chuck Mencel,April 21 1933
John Mengelt,October 16 1949
Ken Menke,October 2 1922
Pops Mensah-Bonsu,September 7 1983
Dewitt Menyard,May 24 1944
Ron Mercer,May 18 1976
Joe Meriweather,October 26 1953
Porter Meriwether,March 16 1940
Sam Merrill,May 15 1996
Tom Meschery,October 26 1938
Chimezie Metu,March 22 1997
Bill Meyer,August 30 1943
Loren Meyer,December 30 1972
Dave Meyers,April 21 1953
Stan Miasek,September 19 1923
Larry Micheaux,March 24 1960
Jordan Mickey,July 9 1994
Khris Middleton,August 12 1991
Red Mihalik,September 22 1916
Chris Mihm,July 16 1979
Eric Mika,January 5 1995
Ed Mikan,October 20 1925
George Mikan*,June 18 1924
Larry Mikan,April 8 1948
Vern Mikkelsen*,October 21 1928
Al Miksis,February 2 1928
Aaron Miles,April 13 1983
C.J. Miles,March 18 1987
Darius Miles,October 9 1981
Eddie Miles,July 5 1940
Marko Mili?,May 7 1977
Darko Mili?i?,June 20 1985
Nat Militzok,May 3 1923
Andre Miller,March 19 1976
Anthony Miller,October 22 1971
Bill Miller,November 24 1924
Bob Miller,July 9 1956
Brad Miller,April 12 1976
Darius Miller,March 21 1990
Dick Miller,April 26 1958
Eddie Miller,June 18 1931
Harry Miller,July 28 1923
Jay Miller,July 19 1943
Larry Miller,April 4 1946
Malcolm Miller,March 6 1993
Mike Miller,February 19 1980
Oliver Miller,April 6 1970
Quincy Miller,November 18 1992
Reggie Miller*,August 24 1965
Walt Miller,July 20 1915
Chris Mills,January 25 1970
John Mills,September 7 1919
Patty Mills,August 11 1988
Terry Mills,December 21 1967
Elijah Millsap,August 12 1987
Paul Millsap,February 10 1985
Shake Milton,September 26 1996
Harold Miner,May 5 1971
Yao Ming*,September 12 1980
Dirk Minniefield,January 17 1961
Dave Minor,February 23 1922
Greg Minor,September 18 1971
Mark Minor,May 14 1950
Nikola Miroti?,February 11 1991
Wat Misaka,December 21 1923
Jason Miskiri,August 19 1975
Davion Mitchell,September 5 1998
Donovan Mitchell,September 7 1996
Leland Mitchell,February 22 1941
Mike Mitchell,January 1 1956
Murray Mitchell,March 19 1923
Sam Mitchell,September 2 1963
Todd Mitchell,July 26 1966
Tony Mitchell,August 7 1989
Tony Mitchell,April 7 1992
Naz Mitrou-Long,August 3 1993
Steve Mix,December 30 1947
Bill Mlkvy,January 19 1931
Cuttino Mobley,September 1 1975
Eric Mobley,February 1 1970
Evan Mobley,June 18 2001
Doug Moe,September 21 1938
Larry Moffett,November 5 1954
Leo Mogus,April 13 1921
Nazr Mohammed,September 5 1977
Jérôme Moïso,June 15 1978
Paul Mokeski,January 3 1957
Adam Mokoka,July 18 1998
Jack Molinas,October 31 1931
Wayne Molis,April 17 1943
Sidney Moncrief*,September 21 1957
Eric Money,February 6 1955
Sergei Monia,April 15 1983
Malik Monk,February 4 1998
Earl Monroe*,November 21 1944
Greg Monroe,June 4 1990
Rodney Monroe,April 16 1968
Luis Montero,April 6 1993
Howie Montgomery,August 22 1940
Eric Montross,September 23 1971
Moses Moody,May 31 2002
Jamario Moon,June 13 1980
Xavier Moon,January 2 1995
Jim Mooney,July 8 1930
Matt Mooney,February 7 1997
Andre Moore,July 2 1964
Ben Moore,May 13 1995
E'Twaun Moore,February 25 1989
Gene Moore,July 29 1945
Jackie Moore,September 24 1932
Johnny Moore,March 3 1958
Larry Moore,July 10 1942
Lowes Moore,May 5 1957
Mikki Moore,November 4 1975
Otto Moore,August 27 1946
Ron Moore,January 16 1962
Tracy Moore,December 28 1965
Ja Morant,August 10 1999
Eric Moreland,December 24 1991
Jackie Moreland,March 11 1938
Guy Morgan,August 23 1960
Juwan Morgan,April 17 1997
Rex Morgan,October 27 1948
Elmore Morgenthaler,August 3 1922
Darren Morningstar,April 22 1969
Chris Morris,January 20 1966
Darius Morris,January 3 1991
Isaiah Morris,April 2 1969
Jaylen Morris,September 19 1995
Marcus Morris,September 2 1989
Markieff Morris,September 2 1989
Max Morris,March 14 1925
Monte Morris,June 27 1995
Randolph Morris,January 2 1986
Terence Morris,January 11 1979
Adam Morrison,July 19 1984
John Morrison,May 2 1945
Mike Morrison,August 16 1967
Red Morrison,April 26 1932
Anthony Morrow,September 27 1985
Dwayne Morton,August 8 1971
John Morton,May 18 1967
Richard Morton,February 2 1966
Glenn Mosley,December 26 1955
Perry Moss,November 11 1958
Lawrence Moten,March 25 1972
Donatas Motiej?nas,September 20 1990
Johnathan Motley,May 4 1995
Hanno Möttölä,September 9 1976
Arnett Moultrie,November 18 1990
Rick Mount,January 5 1947
Alonzo Mourning*,February 8 1970
Timofey Mozgov,July 16 1986
Chuck Mrazovich,February 26 1924
Emmanuel Mudiay,March 5 1996
Erwin Mueller,March 12 1944
Shabazz Muhammad,November 13 1992
Mychal Mulder,June 12 1994
Joe Mullaney,November 17 1924
Bob Mullens,November 1 1922
Byron Mullens,February 14 1989
Chris Mullin*,July 30 1963
Jeff Mullins,March 18 1942
Todd Mundt,May 17 1970
Xavier Munford,June 1 1992
Chris Munk,August 5 1967
George Munroe,January 5 1922
Eric Murdock,June 14 1968
Gheorghe Mure?an,February 14 1971
Ade Murkey,January 29 1998
Allen Murphy,July 15 1952
Calvin Murphy*,May 9 1948
Dick Murphy,March 10 1921
Erik Murphy,October 26 1990
Jay Murphy,June 26 1962
John Murphy,September 13 1924
Kevin Murphy,March 6 1990
Ronnie Murphy,July 29 1964
Tod Murphy,December 24 1963
Trey Murphy III,June 18 2000
Troy Murphy,May 2 1980
Dejounte Murray,September 19 1996
Jamal Murray,February 23 1997
Ken Murray,April 20 1928
Lamond Murray,April 20 1973
Ronald Murray,July 29 1979
Tracy Murray,July 25 1971
Willie Murrell,September 13 1941
Dorie Murrey,September 7 1943
Toure' Murry,November 8 1989
Džanan Musa,May 8 1999
Mike Muscala,July 1 1991
Angelo Musi,July 25 1918
Jerrod Mustaf,October 28 1969
Dikembe Mutombo*,June 25 1966
Martin Müürsepp,September 26 1974
Pete Myers,September 15 1963
Svi Mykhailiuk,June 10 1997
Hamady N'Diaye,January 12 1987
Makhtar N'Diaye,December 12 1973
Mamadou N'Diaye,June 16 1975
Boniface N'Dong,March 9 1977
Bob Naber,September 3 1929
Boris Nachamkin,December 6 1933
Boštjan Nachbar,July 3 1980
Abdel Nader,September 25 1993
Jerry Nagel,May 18 1928
Fritz Nagy,January 3 1924
Lee Nailon,February 22 1975
Eduardo Nájera,July 11 1976
Larry Nance,February 12 1959
Larry Nance Jr.,January 1 1993
Shabazz Napier,July 14 1991
Paul Napolitano,February 3 1923
Bob Nash,August 24 1950
Cotton Nash,July 24 1942
Steve Nash*,February 7 1974
Swen Nater,January 14 1950
Howard Nathan,January 21 1972
Calvin Natt,January 8 1957
Kenny Natt,October 5 1958
Willie Naulls,October 7 1934
Juan Carlos Navarro,June 13 1980
Maurice Ndour,June 18 1992
Craig Neal,February 16 1964
Gary Neal,October 3 1984
Jim Neal,May 21 1930
Lloyd Neal,December 10 1950
Ed Nealy,February 19 1960
Nemanja Nedovi?,June 16 1991
Al Negratti,June 12 1921
Barry Nelson,September 19 1949
DeMarcus Nelson,November 2 1985
Don Nelson*,May 15 1940
Jameer Nelson,February 9 1982
Louie Nelson,May 28 1951
Ron Nelson,October 7 1946
RJ Nembhard Jr.,March 22 1999
Ruben Nembhard,February 20 1972
Dick Nemelka,October 1 1943
Tyrone Nesby,January 31 1976
Aaron Nesmith,October 16 1999
Martin Nessley,February 16 1965
Rasho Nesterovi?,May 30 1976
Raul Neto,May 19 1992
Bob Netolicky,August 2 1942
Johnny Neumann,September 11 1951
Paul Neumann,January 30 1938
Chuck Nevitt,June 13 1959
Melvin Newbern,June 11 1967
Ivano Newbill,December 12 1970
Ira Newble,January 20 1975
Mike Newlin,January 2 1949
Johnny Newman,November 28 1963
Malik Newman,February 21 1997
Dave Newmark,September 11 1946
Bill Newton,December 22 1950
Georges Niang,June 17 1993
Demetris Nichols,September 4 1984
Jack Nichols,April 9 1926
Andrew Nicholson,December 8 1989
Gaylon Nickerson,February 5 1969
Carl Nicks,October 6 1958
Rich Niemann,July 2 1946
Richie Niemiera,May 26 1921
Mike Niles,March 31 1955
Kurt Nimphius,March 13 1958
Daishen Nix,February 13 2002
Dyron Nix,February 11 1967
Norm Nixon,October 11 1955
Zeke Nnaji,January 9 2001
Joakim Noah,February 25 1985
Chuck Noble,July 24 1931
Andrés Nocioni,November 30 1979
David Noel,February 27 1984
Nerlens Noel,April 10 1994
Paul Noel,August 17 1924
Lucas Nogueira,July 26 1992
Jim Nolan,June 9 1927
Paul Nolen,September 3 1929
Jeff Nordgaard,February 23 1973
Bevo Nordmann,December 11 1939
Johnny Norlander,March 5 1921
Connie Norman,September 24 1953
Ken Norman,September 5 1964
Audie Norris,December 18 1960
Moochie Norris,July 27 1973
Sylvester Norris,February 18 1957
Zach Norvell,December 9 1997
Willie Norwood,August 8 1947
George Nostrand,January 25 1924
Stan Noszka,September 9 1920
Mike Novak,April 23 1915
Steve Novak,June 13 1983
Jaylen Nowell,July 9 1999
Mel Nowell,December 27 1939
Dirk Nowitzki,June 19 1978
Frank Ntilikina,July 28 1998
Kendrick Nunn,August 3 1995
James Nunnally,July 14 1990
Jusuf Nurki?,August 23 1994
Dennis Nutt,March 25 1963
David Nwaba,January 14 1993
Jordan Nwora,September 9 1998
Julius Nwosu,May 1 1971
Charles O'Bannon,February 22 1975
Ed O'Bannon,August 14 1972
John O'Boyle,March 7 1928
Bob O'Brien,January 26 1927
J.J. O'Brien,April 8 1992
Jim O'Brien,November 7 1951
Jimmy O'Brien,April 9 1950
Ralph O'Brien,April 8 1928
Johnny O'Bryant,June 1 1993
Patrick O'Bryant,June 20 1986
Dermie O'Connell,April 13 1928
Andy O'Donnell,March 10 1925
Buddy O'Grady,January 19 1920
Fran O'Hanlon,August 24 1948
Dick O'Keefe,September 29 1923
Tommy O'Keefe,June 3 1928
Mike O'Koren,February 7 1958
Grady O'Malley,April 25 1948
Jermaine O'Neal,October 13 1978
Shaquille O'Neal*,March 6 1972
Royce O'Neale,June 5 1993
Mike O'Neill,August 11 1928
Kyle O'Quinn,March 26 1990
Kevin O'Shea,July 10 1925
Garland O'Shields,May 23 1921
Dan O'Sullivan,March 3 1968
Charles Oakley,December 18 1963
Fabricio Oberto,March 21 1975
Daniel Ochefu,December 15 1993
Greg Oden,January 22 1988
Lamar Odom,November 6 1979
Bud Ogden,December 29 1946
Ralph Ogden,January 25 1948
Alan Ogg,July 5 1967
Don Ohl,April 18 1936
Tim Ohlbrecht,August 30 1988
Semi Ojeleye,December 5 1994
Emeka Okafor,September 28 1982
Jahlil Okafor,December 15 1995
Chuma Okeke,August 18 1998
Elie Okobo,October 23 1997
Josh Okogie,September 1 1998
Onyeka Okongwu,December 11 2000
Isaac Okoro,January 26 2001
KZ Okpala,April 28 1999
Mehmet Okur,May 26 1979
Victor Oladipo,May 4 1992
Hakeem Olajuwon*,January 21 1963
Mark Olberding,April 21 1956
Jawann Oldham,July 4 1957
John Oldham,June 22 1923
Frank Oleynick,February 20 1955
John Olive,March 1 1955
Brian Oliver,June 1 1968
Cameron Oliver,July 11 1996
Dean Oliver,November 5 1978
Jimmy Oliver,July 12 1969
Kevin Ollie,December 27 1972
Gene Ollrich,June 30 1922
Michael Olowokandi,April 3 1975
Bud Olsen,July 25 1940
Kelly Olynyk,April 19 1991
Eugene Omoruyi,February 14 1997
Miye Oni,August 4 1997
Arinze Onuaku,July 13 1987
Chinanu Onuaku,November 1 1996
Barry Orms,May 1 1946
Johnny Orr,June 10 1927
Louis Orr,May 7 1958
José Ortiz,October 25 1963
Daniel Orton,August 6 1990
Chuck Osborne,January 21 1939
Cedi Osman,April 8 1995
Wally Osterkorn,July 6 1928
Greg Ostertag,March 6 1973
Matt Othick,March 16 1969
Don Otten,April 18 1921
Mac Otten,December 16 1925
Daniel Oturu,September 20 1999
Kelly Oubre Jr.,December 9 1995
Bo Outlaw,April 13 1971
Travis Outlaw,September 18 1984
Claude Overton,December 16 1927
Doug Overton,August 3 1969
Andre Owens,October 31 1980
Billy Owens,May 1 1969
Chris Owens,March 1 1979
Eddie Owens,December 26 1953
Jim Owens,May 1 1950
Keith Owens,May 31 1969
Larry Owens,January 8 1983
Red Owens,September 2 1925
Tariq Owens,June 30 1995
Tom Owens,June 28 1949
Ray Owes,December 11 1972
Olumide Oyedeji,May 11 1981
Joe Pace,December 18 1953
Zaza Pachulia,February 10 1984
Robert Pack,February 3 1969
Wayne Pack,July 5 1950
Gerald Paddio,April 21 1965
Scott Padgett,April 19 1976
Dana Pagett,March 29 1949
Jaysean Paige,July 30 1994
Marcus Paige,September 11 1993
Fred Paine,December 7 1925
Milt Palacio,February 7 1978
Togo Palazzi,August 8 1932
Bud Palmer,September 14 1921
Jim Palmer,June 8 1933
Trayvon Palmer,November 13 1994
Walter Palmer,October 23 1968
Kevin Pangos,January 26 1993
Andy Panko,November 27 1977
Georgios Papagiannis,July 3 1997
Kostas Papanikolaou,July 31 1990
Jannero Pargo,October 22 1979
Jeremy Pargo,March 17 1986
Easy Parham,December 27 1921
Robert Parish*,August 30 1953
Med Park,April 11 1933
Anthony Parker,June 19 1975
Jabari Parker,March 15 1995
Smush Parker,June 1 1981
Sonny Parker,March 22 1955
Tony Parker,May 17 1982
Barry Parkhill,May 10 1951
Jack Parkinson,March 4 1924
Cherokee Parks,October 11 1972
Richard Parks,October 28 1943
Jack Parr,March 13 1936
Doyle Parrack,December 6 1921
Charlie Parsley,October 13 1925
Chandler Parsons,October 25 1988
Eric Paschall,November 4 1996
Anžejs Pase??iks,December 20 1995
Žarko Paspalj,March 27 1966
Marty Passaglia,April 22 1919
George Pastushok,July 13 1922
Myles Patrick,November 19 1954
Stan Patrick,May 5 1922
Andrae Patterson,November 12 1975
George Patterson,November 26 1939
Lamar Patterson,August 12 1991
Patrick Patterson,March 14 1989
Ruben Patterson,July 31 1975
Steve Patterson,June 24 1948
Tom Patterson,October 15 1948
Worthy Patterson,June 17 1931
Justin Patton,June 14 1997
Brandon Paul,April 30 1991
Chris Paul,May 6 1985
Charlie Paulk,June 14 1946
Jerry Paulson,July 21 1935
Billy Paultz,July 30 1948
Sasha Pavlovi?,November 15 1983
Jim Paxson,December 19 1932
Jim Paxson,July 9 1957
John Paxson,September 29 1960
Johnny Payak,November 20 1926
Adreian Payne,February 19 1991
Cameron Payne,August 8 1994
Kenny Payne,November 25 1966
Tom Payne,November 19 1950
Elfrid Payton,February 22 1994
Gary Payton*,July 23 1968
Gary Payton II,December 1 1992
Mel Payton,July 16 1926
George Pearcy,July 2 1919
Henry Pearcy,July 21 1922
Oleksiy Pecherov,December 8 1985
Wiley Peck,September 15 1957
Rich Peek,October 28 1943
Anthony Peeler,November 25 1969
George Peeples,October 30 1943
Nikola Pekovi?,January 3 1986
Jake Pelkington,January 3 1916
Norvel Pelle,February 3 1993
Sam Pellom,October 2 1951
Mike Penberthy,November 29 1974
Jerry Pender,February 12 1950
Desmond Penigar,July 16 1981
Kirk Penney,November 23 1980
Mike Peplowski,October 15 1970
Will Perdue,August 29 1965
Kendrick Perkins,November 10 1984
Sam Perkins,June 14 1961
Warren Perkins,February 2 1922
Kosta Perovi?,February 19 1985
London Perrantes,October 3 1994
Aulcie Perry,July 3 1950
Curtis Perry,September 13 1948
Elliot Perry,March 28 1969
Reggie Perry,March 21 2000
Ron Perry,December 29 1943
Tim Perry,June 4 1965
Chuck Person,June 27 1964
Wesley Person,March 28 1971
Alec Peters,April 13 1995
Jim Petersen,February 22 1962
Loy Petersen,July 26 1945
Bob Peterson,January 25 1932
Ed Peterson,June 27 1924
Mel Peterson,March 23 1938
Morris Peterson,August 26 1977
Geoff Petrie,April 17 1948
Johan Petro,January 27 1986
Dražen Petrovi?*,October 22 1964
Richard Petruška,January 25 1969
Bob Pettit*,December 12 1932
Jerry Pettway,February 13 1944
Roger Phegley,October 16 1956
Jack Phelan,November 6 1925
Jim Phelan,March 19 1929
Derrick Phelps,July 31 1972
Michael Phelps,October 3 1961
Andy Phillip*,March 7 1922
Eddie Phillips,September 29 1961
Gary Phillips,December 7 1939
Gene Phillips,October 25 1948
Bobby Phills,December 20 1969
Eric Piatkowski,September 30 1970
Walter Piatkowski,June 11 1945
Jamorko Pickett,December 24 1997
Paul Pierce*,October 13 1977
Ricky Pierce,August 19 1959
Stan Pietkiewicz,July 14 1956
Mickaël Piétrus,February 7 1982
John Pilch,July 11 1925
Ed Pinckney,March 27 1963
Kevinn Pinkney,October 20 1983
John Pinone,February 19 1961
Theo Pinson,November 5 1995
Dave Piontek,August 27 1934
Tom Piotrowski,October 17 1960
Scottie Pippen*,September 25 1965
Charles Pittman,March 23 1958
Dexter Pittman,March 2 1988
Zoran Planini?,September 12 1982
Tibor Pleiß,November 2 1989
Marshall Plumlee,July 14 1992
Mason Plumlee,March 5 1990
Miles Plumlee,September 1 1988
Gary Plummer,February 21 1962
Pavel Podkolzin,January 15 1985
Jakob Poeltl,October 15 1995
Vincent Poirier,October 17 1993
Aleksej Pokusevski,December 26 2001
Dwayne Polee,March 2 1963
Jim Pollard*,July 9 1922
Scot Pollard,February 12 1975
Ralph Polson,October 26 1929
Olden Polynice,November 21 1964
Cliff Pondexter,September 15 1954
Quincy Pondexter,March 10 1988
Shamorie Ponds,June 29 1998
Yves Pons,May 7 1999
Jordan Poole,June 19 1999
David Pope,April 15 1962
Mark Pope,September 11 1972
Dave Popson,May 17 1964
Ben Poquette,May 7 1955
Chris Porter,May 9 1978
Howard Porter,August 31 1948
Jontay Porter,November 15 1999
Kevin Porter,April 17 1950
Kevin Porter Jr.,May 4 2000
Michael Porter Jr.,June 29 1998
Otto Porter Jr.,June 3 1993
Terry Porter,April 8 1963
Willie Porter,July 3 1942
Bobby Portis,February 10 1995
Bob Portman,March 22 1947
Kristaps Porzi??is,August 2 1995
James Posey,January 13 1977
Lavor Postell,February 26 1978
John Postley,May 30 1940
Vitaly Potapenko,March 21 1975
Micah Potter,April 6 1998
Leon Powe,January 22 1984
Cincinnatus Powell,February 25 1942
Dwight Powell,July 20 1991
Josh Powell,January 25 1983
Kasib Powell,March 18 1981
Myles Powell,July 7 1997
Norman Powell,May 25 1993
Roger Powell,January 15 1983
Alex Poythress,September 6 1993
Marlbert Pradd,November 17 1944
Mike Pratt,August 4 1948
Paul Pressey,December 24 1958
Phil Pressey,February 17 1991
Dominic Pressley,May 30 1964
Harold Pressley,July 14 1963
Stephen Previs,February 9 1950
A.J. Price,October 7 1986
Brent Price,December 9 1968
Jim Price,November 27 1949
Mark Price,February 15 1964
Mike Price,September 11 1948
Ronnie Price,June 21 1983
Tony Price,January 5 1957
Bob Priddy,March 24 1930
Pablo Prigioni,May 17 1977
Joshua Primo,December 24 2002
Taurean Prince,March 22 1994
Tayshaun Prince,February 28 1980
John Pritchard,January 23 1927
Kevin Pritchard,July 17 1967
Payton Pritchard,January 28 1998
Laron Profit,August 5 1977
Gabe Pruitt,April 19 1986
Joel Przybilla,October 10 1979
Les Pugh,September 18 1922
Roy Pugh,October 16 1922
Anthony Pullard,June 23 1966
Jacob Pullen,November 10 1989
Rodney Purvis,February 14 1994
Don Putman,November 13 1922
Zhou Qi,January 16 1996
Tim Quarterman,October 27 1994
Trevelin Queen,February 25 1997
Neemias Queta,July 13 1999
Bob Quick,March 5 1946
Immanuel Quickley,June 17 1999
Chris Quinn,September 27 1983
Brian Quinnett,May 30 1966
Ivan Rabb,February 4 1997
Luther Rackley,June 11 1946
Howie Rader,March 29 1921
Mark Radford,July 5 1959
Wayne Radford,May 29 1956
Dino Radja*,April 24 1967
Vladimir Radmanovi?,November 19 1980
Aleksandar Radojevi?,August 8 1976
Frank Radovich,March 3 1938
Moe Radovich,May 5 1929
Miroslav Raduljica,January 5 1988
Ray Radziszewski,March 1 1935
Ray Ragelis,December 10 1928
Sherwin Raiken,October 29 1928
Ed Rains,December 24 1956
Igor Rako?evi?,March 29 1978
Kurt Rambis,February 25 1958
Peter John Ramos,May 13 1985
Cal Ramsey,July 13 1937
Frank Ramsey*,July 13 1931
Jahmi'us Ramsey,June 9 2001
Ray Ramsey,July 18 1921
Mark Randall,September 30 1967
Chasson Randle,February 5 1993
Julius Randle,November 29 1994
Anthony Randolph,July 15 1989
Shavlik Randolph,November 24 1983
Zach Randolph,July 16 1981
Wally Rank,March 1 1958
Kelvin Ransey,May 3 1958
Sam Ranzino,June 23 1928
Bobby Rascoe,July 22 1940
Blair Rasmussen,November 13 1962
Xavier Rathan-Mayes,April 29 1994
George Ratkovicz,November 13 1922
Ed Ratleff,March 29 1950
Mike Ratliff,June 7 1951
Theo Ratliff,April 17 1973
Andy Rautins,November 2 1986
Leo Rautins,March 20 1960
Allan Ray,June 17 1984
Clifford Ray,January 21 1949
Don Ray,July 8 1921
James Ray,July 27 1957
Jim Ray,January 12 1934
Jimmy Rayl,June 21 1941
Craig Raymond,April 5 1945
Connie Rea,January 27 1931
Austin Reaves,May 29 1998
Joe Reaves,May 27 1950
